"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"West Betuwe";"Installaties";"aantal";"12182"
"West Betuwe";"Opgesteld vermogen van zonnepanelen";"kWp";"118474"
"West Betuwe";"Opgesteld vermogen omvormers";"kW";"106454"
"West Betuwe";"Productie van zonnestroom";"mln kWh";"."
"West Maas en Waal";"Installaties";"aantal";"5430"
"West Maas en Waal";"Opgesteld vermogen van zonnepanelen";"kWp";"48538"
"West Maas en Waal";"Opgesteld vermogen omvormers";"kW";"44277"
"West Maas en Waal";"Productie van zonnestroom";"mln kWh";"."
"Westerkwartier";"Installaties";"aantal";"16594"
"Westerkwartier";"Opgesteld vermogen van zonnepanelen";"kWp";"156916"
"Westerkwartier";"Opgesteld vermogen omvormers";"kW";"140281"
"Westerkwartier";"Productie van zonnestroom";"mln kWh";"."
"Westerveld";"Installaties";"aantal";"5393"
"Westerveld";"Opgesteld vermogen van zonnepanelen";"kWp";"32833"
"Westerveld";"Opgesteld vermogen omvormers";"kW";"30158"
"Westerveld";"Productie van zonnestroom";"mln kWh";"."
"Westervoort";"Installaties";"aantal";"2784"
"Westervoort";"Opgesteld vermogen van zonnepanelen";"kWp";"12361"
"Westervoort";"Opgesteld vermogen omvormers";"kW";"11585"
"Westervoort";"Productie van zonnestroom";"mln kWh";"."
"Westerwolde";"Installaties";"aantal";"5155"
"Westerwolde";"Opgesteld vermogen van zonnepanelen";"kWp";"232601"
"Westerwolde";"Opgesteld vermogen omvormers";"kW";"185702"
"Westerwolde";"Productie van zonnestroom";"mln kWh";"."
"Westland";"Installaties";"aantal";"23052"
"Westland";"Opgesteld vermogen van zonnepanelen";"kWp";"166521"
"Westland";"Opgesteld vermogen omvormers";"kW";"146076"
"Westland";"Productie van zonnestroom";"mln kWh";"."
"Weststellingwerf";"Installaties";"aantal";"7612"
"Weststellingwerf";"Opgesteld vermogen van zonnepanelen";"kWp";"68304"
"Weststellingwerf";"Opgesteld vermogen omvormers";"kW";"61295"
"Weststellingwerf";"Productie van zonnestroom";"mln kWh";"."
"Westvoorne";"Installaties";"aantal";""
"Westvoorne";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Westvoorne";"Opgesteld vermogen omvormers";"kW";""
"Westvoorne";"Productie van zonnestroom";"mln kWh";""
"Wierden";"Installaties";"aantal";"5828"
"Wierden";"Opgesteld vermogen van zonnepanelen";"kWp";"54393"
"Wierden";"Opgesteld vermogen omvormers";"kW";"49495"
"Wierden";"Productie van zonnestroom";"mln kWh";"."
"Wijchen";"Installaties";"aantal";"8281"
"Wijchen";"Opgesteld vermogen van zonnepanelen";"kWp";"74443"
"Wijchen";"Opgesteld vermogen omvormers";"kW";"63169"
"Wijchen";"Productie van zonnestroom";"mln kWh";"."
"Wijdemeren";"Installaties";"aantal";"4173"
"Wijdemeren";"Opgesteld vermogen van zonnepanelen";"kWp";"31373"
"Wijdemeren";"Opgesteld vermogen omvormers";"kW";"27115"
"Wijdemeren";"Productie van zonnestroom";"mln kWh";"."
"Wijk bij Duurstede";"Installaties";"aantal";"5240"
"Wijk bij Duurstede";"Opgesteld vermogen van zonnepanelen";"kWp";"63355"
"Wijk bij Duurstede";"Opgesteld vermogen omvormers";"kW";"50608"
"Wijk bij Duurstede";"Productie van zonnestroom";"mln kWh";"."
"Winterswijk";"Installaties";"aantal";"5903"
"Winterswijk";"Opgesteld vermogen van zonnepanelen";"kWp";"41890"
"Winterswijk";"Opgesteld vermogen omvormers";"kW";"38434"
"Winterswijk";"Productie van zonnestroom";"mln kWh";"."
"Woensdrecht";"Installaties";"aantal";"4311"
"Woensdrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"37389"
"Woensdrecht";"Opgesteld vermogen omvormers";"kW";"32369"
"Woensdrecht";"Productie van zonnestroom";"mln kWh";"."
"Woerden";"Installaties";"aantal";"10235"
"Woerden";"Opgesteld vermogen van zonnepanelen";"kWp";"61147"
"Woerden";"Opgesteld vermogen omvormers";"kW";"55089"
"Woerden";"Productie van zonnestroom";"mln kWh";"."
"De Wolden";"Installaties";"aantal";"6427"
"De Wolden";"Opgesteld vermogen van zonnepanelen";"kWp";"44864"
"De Wolden";"Opgesteld vermogen omvormers";"kW";"40280"
"De Wolden";"Productie van zonnestroom";"mln kWh";"."
"Wormerland";"Installaties";"aantal";"3432"
"Wormerland";"Opgesteld vermogen van zonnepanelen";"kWp";"17794"
"Wormerland";"Opgesteld vermogen omvormers";"kW";"16204"
"Wormerland";"Productie van zonnestroom";"mln kWh";"."
"Woudenberg";"Installaties";"aantal";"3157"
"Woudenberg";"Opgesteld vermogen van zonnepanelen";"kWp";"19844"
"Woudenberg";"Opgesteld vermogen omvormers";"kW";"17552"
"Woudenberg";"Productie van zonnestroom";"mln kWh";"."
"Zaanstad";"Installaties";"aantal";"19928"
"Zaanstad";"Opgesteld vermogen van zonnepanelen";"kWp";"116637"
"Zaanstad";"Opgesteld vermogen omvormers";"kW";"103220"
"Zaanstad";"Productie van zonnestroom";"mln kWh";"."
"Zaltbommel";"Installaties";"aantal";"6465"
"Zaltbommel";"Opgesteld vermogen van zonnepanelen";"kWp";"67807"
"Zaltbommel";"Opgesteld vermogen omvormers";"kW";"59257"
"Zaltbommel";"Productie van zonnestroom";"mln kWh";"."
"Zandvoort";"Installaties";"aantal";"1395"
"Zandvoort";"Opgesteld vermogen van zonnepanelen";"kWp";"6034"
"Zandvoort";"Opgesteld vermogen omvormers";"kW";"5523"
"Zandvoort";"Productie van zonnestroom";"mln kWh";"."
"Zeewolde";"Installaties";"aantal";"5688"
"Zeewolde";"Opgesteld vermogen van zonnepanelen";"kWp";"118455"
"Zeewolde";"Opgesteld vermogen omvormers";"kW";"102391"
"Zeewolde";"Productie van zonnestroom";"mln kWh";"."
"Zeist";"Installaties";"aantal";"9959"
"Zeist";"Opgesteld vermogen van zonnepanelen";"kWp";"47963"
"Zeist";"Opgesteld vermogen omvormers";"kW";"43306"
"Zeist";"Productie van zonnestroom";"mln kWh";"."
"Zevenaar";"Installaties";"aantal";"9252"
"Zevenaar";"Opgesteld vermogen van zonnepanelen";"kWp";"82872"
"Zevenaar";"Opgesteld vermogen omvormers";"kW";"70075"
"Zevenaar";"Productie van zonnestroom";"mln kWh";"."
"Zoetermeer";"Installaties";"aantal";"17809"
"Zoetermeer";"Opgesteld vermogen van zonnepanelen";"kWp";"80020"
"Zoetermeer";"Opgesteld vermogen omvormers";"kW";"72675"
"Zoetermeer";"Productie van zonnestroom";"mln kWh";"."
"Zoeterwoude";"Installaties";"aantal";"1961"
"Zoeterwoude";"Opgesteld vermogen van zonnepanelen";"kWp";"19099"
"Zoeterwoude";"Opgesteld vermogen omvormers";"kW";"16754"
"Zoeterwoude";"Productie van zonnestroom";"mln kWh";"."
"Zuidplas";"Installaties";"aantal";"9254"
"Zuidplas";"Opgesteld vermogen van zonnepanelen";"kWp";"72952"
"Zuidplas";"Opgesteld vermogen omvormers";"kW";"64723"
"Zuidplas";"Productie van zonnestroom";"mln kWh";"."
"Zundert";"Installaties";"aantal";"4548"
"Zundert";"Opgesteld vermogen van zonnepanelen";"kWp";"45963"
"Zundert";"Opgesteld vermogen omvormers";"kW";"39621"
"Zundert";"Productie van zonnestroom";"mln kWh";"."
"Zutphen";"Installaties";"aantal";"8238"
"Zutphen";"Opgesteld vermogen van zonnepanelen";"kWp";"62270"
"Zutphen";"Opgesteld vermogen omvormers";"kW";"55888"
"Zutphen";"Productie van zonnestroom";"mln kWh";"."
"Zwartewaterland";"Installaties";"aantal";"4620"
"Zwartewaterland";"Opgesteld vermogen van zonnepanelen";"kWp";"41483"
"Zwartewaterland";"Opgesteld vermogen omvormers";"kW";"37664"
"Zwartewaterland";"Productie van zonnestroom";"mln kWh";"."
"Zwijndrecht";"Installaties";"aantal";"6638"
"Zwijndrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"105131"
"Zwijndrecht";"Opgesteld vermogen omvormers";"kW";"100421"
"Zwijndrecht";"Productie van zonnestroom";"mln kWh";"."
"Zwolle";"Installaties";"aantal";"25337"
"Zwolle";"Opgesteld vermogen van zonnepanelen";"kWp";"203609"
"Zwolle";"Opgesteld vermogen omvormers";"kW";"177869"
"Zwolle";"Productie van zonnestroom";"mln kWh";"."
"Gemeenten; niet in te delen";"Installaties";"aantal";"533"
"Gemeenten; niet in te delen";"Opgesteld vermogen van zonnepanelen";"kWp";"175854"
"Gemeenten; niet in te delen";"Opgesteld vermogen omvormers";"kW";"140124"
"Gemeenten; niet in te delen";"Productie van zonnestroom";"mln kWh";"28"
"Bron: CBS"
