"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2024 eerste helft*"
"Doetinchem";"Installaties";"aantal";"12313"
"Doetinchem";"Opgesteld vermogen van zonnepanelen";"kWp";"77920"
"Doetinchem";"Opgesteld vermogen omvormers";"kW";"69627"
"Doetinchem";"Productie van zonnestroom";"mln kWh";"."
"Dongen";"Installaties";"aantal";"4951"
"Dongen";"Opgesteld vermogen van zonnepanelen";"kWp";"51329"
"Dongen";"Opgesteld vermogen omvormers";"kW";"43425"
"Dongen";"Productie van zonnestroom";"mln kWh";"."
"Dordrecht";"Installaties";"aantal";"13267"
"Dordrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"109939"
"Dordrecht";"Opgesteld vermogen omvormers";"kW";"91628"
"Dordrecht";"Productie van zonnestroom";"mln kWh";"."
"Drechterland";"Installaties";"aantal";"5130"
"Drechterland";"Opgesteld vermogen van zonnepanelen";"kWp";"41264"
"Drechterland";"Opgesteld vermogen omvormers";"kW";"37475"
"Drechterland";"Productie van zonnestroom";"mln kWh";"."
"Drimmelen";"Installaties";"aantal";"5035"
"Drimmelen";"Opgesteld vermogen van zonnepanelen";"kWp";"45839"
"Drimmelen";"Opgesteld vermogen omvormers";"kW";"38729"
"Drimmelen";"Productie van zonnestroom";"mln kWh";"."
"Dronten";"Installaties";"aantal";"10018"
"Dronten";"Opgesteld vermogen van zonnepanelen";"kWp";"322129"
"Dronten";"Opgesteld vermogen omvormers";"kW";"297798"
"Dronten";"Productie van zonnestroom";"mln kWh";"."
"Druten";"Installaties";"aantal";"4122"
"Druten";"Opgesteld vermogen van zonnepanelen";"kWp";"59704"
"Druten";"Opgesteld vermogen omvormers";"kW";"45404"
"Druten";"Productie van zonnestroom";"mln kWh";"."
"Duiven";"Installaties";"aantal";"4757"
"Duiven";"Opgesteld vermogen van zonnepanelen";"kWp";"40743"
"Duiven";"Opgesteld vermogen omvormers";"kW";"34838"
"Duiven";"Productie van zonnestroom";"mln kWh";"."
"Echt-Susteren";"Installaties";"aantal";"7830"
"Echt-Susteren";"Opgesteld vermogen van zonnepanelen";"kWp";"70270"
"Echt-Susteren";"Opgesteld vermogen omvormers";"kW";"60651"
"Echt-Susteren";"Productie van zonnestroom";"mln kWh";"."
